year,age,location,lat,lon,livingWith
1304,0,"Tangier, Morocco",35.7595,-5.8339,"Parents"
1325,21,"Tangier, Morocco",35.7595,-5.8339,"Starting Hajj pilgrimage"
1326,22,"Mecca, Saudi Arabia",21.3891,39.8579,"Performing Hajj"
1327,23,"Medina, Saudi Arabia",24.5247,39.5692,"Visiting Prophet's Mosque"
1328,24,"Baghdad, Iraq",33.3152,44.3661,"With caravan"
1328,24,"Najaf, Iraq",32.0000,44.3333,"Shia holy cities"
1329,25,"Basra, Iraq",30.5081,47.7835,"Persian Gulf coast"
1330,26,"Jeddah, Saudi Arabia",21.4858,39.1925,"Second Hajj"
1330,26,"Aden, Yemen",12.7855,45.0187,"Indian Ocean trade hub"
1331,27,"Mogadishu, Somalia",2.0469,45.3182,"East African Swahili coast"
1331,27,"Mombasa, Kenya",-4.0435,39.6682,"Swahili coast"
1331,27,"Kilwa, Tanzania",-8.9500,39.5000,"Gold trade city"
1332,28,"Muscat, Oman",23.5859,58.4059,"Return via Arabia"
1333,29,"Mecca, Saudi Arabia",21.3891,39.8579,"Third Hajj"
1334,30,"Shiraz, Iran",29.5926,52.5837,"Persian cities"
1335,31,"Baghdad, Iraq",33.3152,44.3661,"Again"
1336,32,"Tabriz, Iran",38.0796,46.2900,"Ilkhanid capital"
1338,34,"Mecca, Saudi Arabia",21.3891,39.8579,"Fourth Hajj (long stay)"
1341,37,"Delhi, India",28.7041,77.1025,"Appointed qadi by Sultan Muhammad bin Tughluq"
1342,38,"Malabar Coast, India",11.2588,75.7804,"En route to China (shipwrecked)"
1345,41,"Calicut, India",11.2588,75.7804,"Recovering"
1346,42,"Maldives",4.1755,73.5093,"Appointed qadi for 18 months"
1347,43,"Sri Lanka (Adam’s Peak)",6.8091,80.4994,"Climbed sacred mountain"
1348,44,"Bengal, India",23.6850,90.3563,"Visited Sultan in Sonargaon"
1349,45,"Sumatra, Indonesia",0.5897,101.3431,"Met Sultan of Samudera Pasai"
1350,46,"Quanzhou, China",24.8969,118.5994,"Southern China (likely reached)"
1352,48,"Fez, Morocco",34.0181,-5.0078,"Returned home after 27 years"
1353,49,"Granada, Spain",37.1773,-3.5986,"Visited Nasrid kingdom"
1353,49,"Marrakesh, Morocco",31.6295,-7.9811,"Court of Sultan Abu Inan"
1354,50,"Timbuktu, Mali",16.7735,-3.0074,"Crossed Sahara with caravan"
1354,50,"Taghaza, Mauritania",23.5000,-5.0000,"Salt mines"
1355,51,"Fez, Morocco",34.0181,-5.0078,"Dictating Rihla to Ibn Juzayy"
1369,65,"Morocco (exact place unknown)",34.0000,-5.0000,"Died (buried near Marrakesh or Tangier)"
