year,age,location,lat,lon,livingWith
1371,0,"Kunyang, Yunnan, China",24.6667,102.5833,"Ma family (Muslim Hui)"
1382,11,"Beiping (Beijing), China",39.9042,116.4074,"Captured in Ming conquest; castrated; entered palace service
1390,19,"Nanjing, China",32.0603,118.7969,"Serving Prince Zhu Di (future Yongle Emperor)"
1404,33,"Nanjing, China",32.0603,118.7969,"Appointed Grand Director; overseeing fleet construction"
1405,34,"Liuhe River (Taicang), Jiangsu",31.6333,121.1167,"1st voyage departure – 317 ships"
1405,34,"Changle, Fujian",26.0167,119.3500,"Fleet assembly & sacrifices
1406,35,"Calicut, India",11.2588,75.7804,"Main destination 1st voyage"
1406,35,"Quilon (Kollam), India",8.8870,76.5897,"Trade & diplomacy"
1407,36,"Nanjing, China",32.0603,118.7969,"1st voyage return – tribute from many kings"
1407,36,"Palembang, Sumatra",2.9761,104.7458,"2nd voyage – defeat pirate Chen Zuyi"
1408,37,"Ceylon (Sri Lanka)",7.8731,80.7718,"2nd voyage diplomacy"
1409,38,"Calicut, India",11.2588,75.7804,"2nd voyage main hub"
1409,38,"Malacca, Malacca Sultanate",2.1896,102.2501,"Establishing key ally"
1410,39,"Nanjing, China",32.0603,118.7969,"2nd voyage return"
1411,40,"Nanjing, China",32.0603,118.7969,"3rd voyage preparation"
1413,42,"Champā (Qui Nhơn), Vietnam",13.7667,109.2333,"3rd voyage"
1414,43,"Malacca, Malacca Sultanate",2.1896,102.2501,"Permanent base"
1414,43,"Semudera (Pasai), Sumatra",5.2000,97.1167,"Northern Sumatra sultanate"
1415,44,"Hormuz, Persian Gulf",27.1833,56.2667,"Farthest west on 3rd voyage"
1415,44,"Aden, Yemen",12.7855,45.0187,"Red Sea entrance"
1416,45,"Mogadishu, Somalia",2.0469,45.3182,"East Africa"
1416,45,"Malindi, Kenya",-3.2167,40.1167,"Diplomatic gifts; giraffe acquired"
1417,46,"Nanjing, China",32.0603,118.7969,"3rd voyage return – giraffe sensation"
1417,46,"Beijing, China",39.9042,116.4074,"Yongle Emperor moved capital"
1419,48,"Changle, Fujian",26.0167,119.3500,"4th voyage departure"
1420,49,"Palembang, Sumatra",-2.9761,104.7458,"Installing new ruler"
1421,50,"Calicut, India",11.2588,75.7804,"4th voyage hub"
1421,50,"Hormuz, Persian Gulf",27.1833,56.2667,"Again"
1422,51,"Nanjing, China",32.0603,118.7969,"4th voyage return"
1424,53,"Beijing, China",39.9042,116.4074,"Yongle Emperor dies; fleet temporarily halted"
1430,59,"Beijing, China",39.9042,116.4074,"Xuande Emperor revives voyages"
1431,60,"Liuhe/Taicang, Jiangsu",31.6333,121.1167,"6th voyage departure – largest fleet
1431,60,"Champā, Vietnam",13.7667,109.2333,"Tribute"
1432,61,"Palembang, Sumatra",-2.9761,104.7458,"Overwinter"
1432,61,"Malacca, Malacca Sultanate",2.1896,102.2501,"Major hub"
1432,61,"Semudera, Sumatra",5.2000,97.1167,"Islamic sultanate"
1433,62,"Calicut, India",11.2588,75.7804,"Final main stop"
1433,62,"Hormuz, Persian Gulf",27.1833,56.2667,"Last recorded western port"
1433,62,"At sea near Calicut (or on return)",11.0000,75.0000,"Died during 7th voyage"
1434,63,"Nanjing, China",32.0603,118.7969,"Fleet returns without Zheng He; body probably buried at sea or Niushou Hill"
